City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,tofol,5.3248,163.0078,300.63,75,100,3.49,FM,1699903902
84,togur,58.3631,82.8265,270.45,88,7,4.47,RU,1699903903
85,ko pha ngan,9.7578,100.0291,299.14,76,100,5.76,TH,1699903904
86,blackmans bay,-43.0167,147.3167,284.11,66,88,0.89,AU,1699903904
87,alofi,-19.0595,-169.9187,297.09,94,100,5.14,NU,1699903905
88,balangiga,11.1097,125.3875,299.49,89,100,2.9,PH,1699903905
89,bandarbeyla,9.4942,50.8122,300.09,84,100,7.77,SO,1699903906
90,lebu,-37.6167,-73.65,285.72,64,26,4.95,CL,1699903906
91,tanhacu,-14.0214,-41.2481,308.88,18,0,2.08,BR,1699903907
92,taoudenni,22.6783,-3.9836,301.03,17,5,5.3,ML,1699903908
93,alesund,62.4723,6.1549,277.46,70,0,4.12,NO,1699903909
94,al jawf,29.5,38.75,296.5,37,68,2.01,SA,1699903909
95,port mathurin,-19.6833,63.4167,298.37,77,0,1.31,MU,1699903910
96,georgetown,5.4112,100.3354,299.11,89,20,1.03,MY,1699903899
97,svirsk,53.0858,103.3325,266.33,83,100,1.46,RU,1699903911
98,nova sintra,14.8667,-24.7167,297.09,72,52,3.86,CV,1699903911
99,port elizabeth,-33.918,25.5701,289.44,82,74,1.34,ZA,1699903846
100,tabou,4.423,-7.3528,299.47,86,0,2.33,CI,1699903912
101,aiquile,-18.2041,-65.1807,294.9,51,94,3.55,BO,1699903913
102,lloydminster,53.2835,-110.0016,277.27,52,75,6.69,CA,1699903654
103,rockland,41.1668,-74.0496,282.57,52,93,0.89,US,1699903914
104,tolanaro,-25.0319,46.9987,294.62,89,1,2.34,MG,1699903915
105,papao,-17.75,-149.55,301.97,88,100,5.0,PF,1699903915
106,thompson,55.7435,-97.8558,272.24,80,100,3.6,CA,1699903916
107,sovetskiy,61.3614,63.5842,266.42,98,100,1.79,RU,1699903917
108,hermanus,-34.4187,19.2345,289.49,76,4,9.45,ZA,1699903637
109,hammerfest,70.6634,23.6821,271.4,80,75,2.57,NO,1699903918
110,barcelos,41.5388,-8.6151,291.23,91,94,3.8,PT,1699903918
111,lospalos,-8.5186,127.0025,295.36,91,5,0.22,TL,1699903919
112,cromwell,41.5951,-72.6454,282.04,52,0,3.09,US,1699903919
113,kavieng,-2.5744,150.7967,300.2,74,100,0.63,PG,1699903920
114,ta`u,-14.2336,-169.5144,300.85,83,86,3.37,AS,1699903921
115,saint-pierre,-21.3393,55.4781,295.97,73,75,1.54,RE,1699903921
116,puerto baquerizo moreno,-0.9,-89.6,301.7,61,75,5.14,EC,1699903922
117,hilo,19.7297,-155.09,299.05,85,100,2.06,US,1699903821
118,hamilton,39.1834,-84.5333,292.92,33,0,6.17,US,1699903786
119,uturoa,-16.7333,-151.4333,299.99,82,100,4.29,PF,1699903925
120,ceeldheer,3.8488,47.1806,300.34,81,93,3.14,SO,1699903925
121,nar'yan-mar,67.6713,53.087,259.88,97,100,3.58,RU,1699903927
122,kaa-khem,51.6833,94.7333,262.82,96,100,1.13,RU,1699903928
123,avarua,-21.2078,-159.775,296.18,68,100,2.57,CK,1699903928
124,qurayyat,31.3318,37.3428,292.25,42,40,2.06,SA,1699903929
125,okhotsk,59.3833,143.3,255.62,80,100,6.59,RU,1699903739
126,madalena,41.2162,-8.3345,290.47,89,39,1.75,PT,1699903930
127,isla vista,34.4133,-119.861,298.14,56,0,4.63,US,1699903930
128,kaga bandoro,6.9896,19.1874,296.98,89,95,1.48,CF,1699903931
129,stanley,54.868,-1.6985,281.92,86,75,11.83,GB,1699903932
130,crane,31.3974,-102.3501,285.25,84,100,5.02,US,1699903933
131,talnakh,69.4865,88.3972,261.6,95,99,4.5,RU,1699903933
132,nouadhibou,20.931,-17.0347,296.14,56,60,3.09,MR,1699903934
133,isiro,2.7739,27.616,293.44,99,100,0.34,CD,1699903935
134,ust'-ilimsk,58.0006,102.6619,270.44,95,99,4.22,RU,1699903935
135,verkhnevilyuysk,63.4453,120.3167,257.08,97,100,2.27,RU,1699903936
136,ust-tsilma,65.441,52.1498,267.93,95,100,1.34,RU,1699903937
137,kabinda,-6.1333,24.4833,293.3,98,100,2.38,CD,1699903937
138,remire-montjoly,4.9167,-52.2667,305.17,58,0,4.63,GF,1699903938
139,tralee,52.2704,-9.7026,283.98,88,53,6.42,IE,1699903939
140,ust-nera,64.5667,143.2,242.12,99,70,1.72,RU,1699903940
141,griffith,41.5284,-87.4237,291.51,34,0,8.75,US,1699903941
142,trenton,40.217,-74.7429,284.94,48,0,3.6,US,1699903913
143,lompoc,34.6391,-120.4579,296.36,65,0,4.02,US,1699903942
144,puerto ayora,-0.7393,-90.3518,301.13,88,88,3.13,EC,1699903943
145,laurentides,46.4334,-74.9826,270.77,93,100,2.94,CA,1699903944
146,colonia,50.9333,6.95,286.42,72,0,9.77,DE,1699903945
147,plovdiv,42.15,24.75,283.19,62,0,2.57,BG,1699903945
148,itamaraca,-7.7478,-34.8256,302.18,70,100,3.22,BR,1699903946
149,weno,7.4515,151.8468,300.12,83,100,3.09,FM,1699903947
150,kerikeri,-35.2268,173.9474,288.66,92,66,3.47,NZ,1699903947
151,kaoma,-14.7833,24.8,297.81,50,94,3.21,ZM,1699903948
152,ventspils,57.3894,21.5606,279.11,93,75,3.6,LV,1699903949
